Date,Gold_Price,Crude_Oil,Interest_Rate,USD_INR,Sensex,CPI,USD_Index
01-10-2000,4538,1455.51,8.0,46.318297,3711.02,37.23,116.65
01-11-2000,4483,1512.47,8.0,46.783613,3997.99,37.31,115.24
01-12-2000,4541,1178.11,8.0,46.745856,3972.12,36.98,109.56
01-01-2001,4466,1208.18,8.0,46.536033,4326.72,36.9,110.52
01-02-2001,4370,1267.18,7.5,46.514595,4247.04,36.73,112.01
01-03-2001,4269,1166.45,7.0,46.609354,3604.38,36.9,117.37
01-04-2001,4267,1203.33,7.0,46.75567,3519.16,37.15,115.85
01-05-2001,4441,1292.57,7.0,46.898772,3631.91,37.4,119.07
01-06-2001,4400,1267.73,7.0,46.972248,3456.78,37.89,119.43
01-07-2001,4380,1169.12,7.0,47.121652,3329.28,38.39,117.18
01-08-2001,4449,1216.8,7.0,47.108333,3244.95,38.64,113.42
01-09-2001,4631,1201.16,7.0,47.589111,2811.6,38.56,113.48
01-10-2001,4688,995.46,6.5,47.996628,2989.35,38.8,114.86
01-11-2001,4604,897.07,6.5,47.9843,3287.5,39.14,116.13
01-12-2001,4576,887.42,6.5,47.9048,3262.33,38.89,116.75
01-01-2002,4693,925.63,6.5,48.271182,3311.03,38.72,120.24
01-02-2002,4901,972.86,6.5,48.664774,3562.31,38.64,119.16
01-03-2002,4920,1152.2,6.5,48.7337,3469.35,38.8,118.62
01-04-2002,5041,1244.02,6.5,48.908614,3338.16,38.89,115.19
01-05-2002,5226,1257.83,6.5,49.00224,3125.73,39.14,111.81
01-06-2002,5313,1199.06,6.5,48.963447,3244.7,39.47,106.11
01-07-2002,5188,1255.67,6.5,48.787774,2987.65,39.88,107.41
01-08-2002,5129,1301.25,6.5,48.603228,3181.23,40.13,106.98
01-09-2002,5239,1369.92,6.5,48.44445,2991.36,40.21,106.87
01-10-2002,5210,1331.61,6.5,48.362591,2949.32,40.38,106.64
01-11-2002,5243,1184.18,6.25,48.251105,3228.82,40.55,106.41
01-12-2002,5444,1342.56,6.25,48.176333,3377.28,40.13,101.85
01-01-2003,5752,1473.85,6.25,47.937694,3250.38,40.05,99.91
01-02-2003,5771,1569.55,6.25,47.740106,3283.66,40.13,99.71
01-03-2003,5433,1446.38,6.25,47.6645,3048.72,40.38,99.06
01-04-2003,5192,1210.97,6.25,47.403571,2959.79,40.88,97.19
01-05-2003,5561,1226.99,6.0,47.098325,3180.75,40.96,93.27
01-06-2003,5509,1304.45,6.0,46.74645,3607.13,41.21,94.73
01-07-2003,5363,1321.85,6.0,46.245625,3792.61,41.54,96.89
01-08-2003,5462,1363.37,6.0,45.943763,4244.73,41.38,98.1
01-09-2003,5718,1232.46,6.0,45.846923,4453.24,41.38,92.85
01-10-2003,5695,1316.78,6.0,45.385,4906.87,41.71,92.73
01-11-2003,5850,1325.54,6.0,45.486158,5044.82,41.79,90.21
01-12-2003,6094,1366.36,6.0,45.564722,5838.96,41.62,86.92
